Titulo,Autor,Editor,TituloBusqueda,cluster id,confidence
formacion a sargentos de intendencia,"de ory lozano, eduardo",dossat,formacion a sargentos de intendencia,180,1
formacion a cabos de intendencia,"de ory lozano, eduardo",dossat,formacion a cabos de intendencia,181,1
introduccion a la soldadura electrica,"rivas arias, jose maria","thomson paraninfo,s.a.",introduccion a la soldadura electrica,182,1
soldadura electrica y sistemas t.i.g. y m.a.g.,"rivas arias, jose maria","thomson paraninfo,s.a.",soldadura electrica y sistemas t.i.g. y m.a.g.,183,1
el mundo hokun,"bermudez castillo, gabriel",javalambre,el mundo hokun,184,1
les normes de castello: textos i contextos,"pitarch almela, vicente",ajuntament de castello,les normes de castello: textos i contextos,185,1
la cocina verbal,victor canicio,fondo de cultura economica,la cocina verbal,186,1
la peste bucolica,victor canicio,editorial montflorit,la peste bucolica,187,1
la malediccio de la mel,"castello morro, rosa",ayuntamiento de castellon,la malediccio de la mel,188,1
a greneva school reader in linguistics,"mourelle de lema, manuel","indiana university press, bloomington-londres",a greneva school reader in linguistics,189,1
relatos e historias de amor de la axarquia almeriense,,"arraez editores, s. l.",relatos e historias de amor de la axarquia almeriense,190,1
com una espiral,"ticoluat i coll, anna maria",sant pau serveis grafics,com una espiral,191,1
tierra de vida,"real hurtado, antonioaraujo, joaquin",don quijote 2005 s.a.,tierra de vida,192,1
el campo de montiel,"madrid y medina, angela",iem,el campo de montiel,193,1
la encomienda de portugal en tiempos de pray perez correa,"madrid y medina, angela",centro de historia de universidade de porto,la encomienda de portugal en tiempos de pray perez correa,194,1
automatas en la practica,"matilla solis, fernando","magrana, s.a.",automatas en la practica,195,1
memorias de medio siglo en aragon,"orlandis rovira, jose",biblioteca aragonesa de cultura,memorias de medio siglo en aragon,196,1
escolis a blai bonet,"oliver ferra, jaume",ajuntament calvia,escolis a blai bonet,197,1
guadalajara en dos mundos,"cano banos, soledad","edicya, s.l.",guadalajara en dos mundos,198,1
diccionario de teologia moral,"fernandez fernandez, aurelio",ed. monte carmelo,diccionario de teologia moral,199,1
la cuchara,"enriquez munoz, salvador",ayunamiento de torreperegil,la cuchara,200,1
vigia,"quiroga, manuel",ediciones papuras,vigia,201,1
retablillo del aprendiz y el maestro,"garrido palacios, manuel",ediciones el pirata,retablillo del aprendiz y el maestro,202,1
el arbol del futuro,"garrido palacios, manuel",diputacion de huelva,el arbol del futuro,203,1
antologia consultada de la poesia visual espanola,"beltran, jose carlos",infromacion y producciones,antologia consultada de la poesia visual espanola,204,1
el fracasado,"gonzalez, juan manuel",autor-editor,el fracasado,205,1
a cultura galega en buenos aires (1950-1960),"neira vilas, jose santiago",real academia galega,a cultura galega en buenos aires (1950-1960),206,1
textos de derecho concursal europeo,,"dykinson, s.l.",textos de derecho concursal europeo,207,1
derecho de la propiedad industrial,,"dykinson, s.l.",derecho de la propiedad industrial,208,1
aspectos practicos de la contratacion bancaria,"fernandez sopena, bernardino luis","dykinson, s.l.",aspectos practicos de la contratacion bancaria,209,1
diez anos de la ley cambiaria y del cheque,,"dykinson, s.l.",diez anos de la ley cambiaria y del cheque,210,1
firma electronica y comercio electronico,,"dykinson, s.l.",firma electronica y comercio electronico,211,1
el general y su lata de sardinas,"anson anadon, antonio",circulo de bellas artes de madrid,el general y su lata de sardinas,212,1
la reforma del derecho concursal,,"dykinson, s.l.",la reforma del derecho concursal,213,1
maria dolores aguirre eta euskal...,"urquizu, patri",egan,maria dolores aguirre eta euskal...,214,1
bilduma 18...,"urquizo, patri",bilduma,bilduma 18...,215,1
poder y mentalidades en espana e iberoamerica (siglos xvi-xx). implicaciones y actores sociales,"franco rubio, gloria angeles",maracaibo,poder y mentalidades en espana e iberoamerica (siglos xvi-xx). implicaciones y actores sociales,216,1
grupo 99 esculturas,,ayuntamiento camargo,grupo 99 esculturas,217,1
massimes,"mas i uso, vicent",lemboscall,massimes,218,1
entre ti,"lopez, mario",editorial eros,entre ti,219,1
"sociedad, informacion y concimiento","reig garcia, ramon",red latina de comunicacion social,"sociedad, informacion y concimiento",220,1
bella edad,"barbal, maria concepcion","diagonal, 2003",bella edad,221,1
residencia de olvido,maria del valle rubio,vasija,residencia de olvido,222,1
formacion para la participacion,"del pino artacho, juan",lumen,formacion para la participacion,223,1
curso de electricidad general,pablo alcalde san miguel,thomson-paraninfo,curso de electricidad general,224,1
soneto,"orihuela parrales, antonio",corona del sur,soneto,225,1
die schmetterlinge von cordoba,magdalena lasala,rowwohlt taschenbuch verlag-germany,die schmetterlinge von cordoba,226,1
